,model,time,horizon,quantile,Cases
107,N-HiTS,2018-05-01,6,Cases_q0.800,4.211178874969482
108,N-HiTS,2017-12-01,1,Cases_q0.850,4.517934727668762
109,N-HiTS,2018-01-01,2,Cases_q0.850,4.480827641487122
110,N-HiTS,2018-02-01,3,Cases_q0.850,4.639689946174622
111,N-HiTS,2018-03-01,4,Cases_q0.850,5.248045468330383
112,N-HiTS,2018-04-01,5,Cases_q0.850,4.91368510723114
113,N-HiTS,2018-05-01,6,Cases_q0.850,4.2496847867965695
114,N-HiTS,2017-12-01,1,Cases_q0.900,4.5974897861480715
115,N-HiTS,2018-01-01,2,Cases_q0.900,4.535425424575806
116,N-HiTS,2018-02-01,3,Cases_q0.900,4.7889330863952635
117,N-HiTS,2018-03-01,4,Cases_q0.900,5.655475997924805
118,N-HiTS,2018-04-01,5,Cases_q0.900,5.532427549362183
119,N-HiTS,2018-05-01,6,Cases_q0.900,4.329158353805542
120,N-HiTS,2017-12-01,1,Cases_q0.950,4.702166509628296
121,N-HiTS,2018-01-01,2,Cases_q0.950,4.643524646759033
122,N-HiTS,2018-02-01,3,Cases_q0.950,4.950211501121521
123,N-HiTS,2018-03-01,4,Cases_q0.950,5.729550075531005
124,N-HiTS,2018-04-01,5,Cases_q0.950,5.618814206123352
125,N-HiTS,2018-05-01,6,Cases_q0.950,4.403132367134094
126,N-HiTS,2017-12-01,1,Cases_q0.975,4.9221168756484985
127,N-HiTS,2018-01-01,2,Cases_q0.975,4.9576946020126345
128,N-HiTS,2018-02-01,3,Cases_q0.975,5.079149210453033
129,N-HiTS,2018-03-01,4,Cases_q0.975,5.848757791519165
130,N-HiTS,2018-04-01,5,Cases_q0.975,5.652917885780335
131,N-HiTS,2018-05-01,6,Cases_q0.975,4.427833449840546
132,N-HiTS,2017-12-01,1,Cases_q0.990,5.306561379432678
133,N-HiTS,2018-01-01,2,Cases_q0.990,4.984394550323486
134,N-HiTS,2018-02-01,3,Cases_q0.990,5.3955397605896
135,N-HiTS,2018-03-01,4,Cases_q0.990,5.909554080963135
136,N-HiTS,2018-04-01,5,Cases_q0.990,5.671110033988953
