,time,region,quantile,horizon,Cases
60,2017-11-01,BLM,0.5,1,0.33774878084659576
61,2017-12-01,BLM,0.5,2,0.2920965701341629
62,2018-01-01,BLM,0.5,3,0.24364972859621048
63,2018-02-01,BLM,0.5,4,0.20343048870563507
64,2018-03-01,BLM,0.5,5,0.1180327981710434
65,2018-04-01,BLM,0.5,6,0.09764290228486061
66,2017-11-01,BLM,0.55,1,0.5189910471439362
67,2017-12-01,BLM,0.55,2,0.4922568410634995
68,2018-01-01,BLM,0.55,3,0.4741654708981514
69,2018-02-01,BLM,0.55,4,0.4287526190280916
70,2018-03-01,BLM,0.55,5,0.2605288445949555
71,2018-04-01,BLM,0.55,6,0.2198193147778511
72,2017-11-01,BLM,0.6,1,0.6700894594192505
73,2017-12-01,BLM,0.6,2,0.7143150329589844
74,2018-01-01,BLM,0.6,3,0.6998505473136901
75,2018-02-01,BLM,0.6,4,0.6314905405044554
76,2018-03-01,BLM,0.6,5,0.4854707717895507
77,2018-04-01,BLM,0.6,6,0.3905557632446288
78,2017-11-01,BLM,0.65,1,0.857288533449173
79,2017-12-01,BLM,0.65,2,0.9562350034713746
80,2018-01-01,BLM,0.65,3,0.9233713746070863
81,2018-02-01,BLM,0.65,4,1.0343768715858461
82,2018-03-01,BLM,0.65,5,0.7491335004568102
83,2018-04-01,BLM,0.65,6,0.670615002512932
84,2017-11-01,BLM,0.7,1,1.0900301098823546
85,2017-12-01,BLM,0.7,2,1.2099847674369808
86,2018-01-01,BLM,0.7,3,1.198951542377472
87,2018-02-01,BLM,0.7,4,1.3859706163406365
88,2018-03-01,BLM,0.7,5,1.0495612382888793
89,2018-04-01,BLM,0.7,6,0.9831711769104003
90,2017-11-01,BLM,0.75,1,1.3863309025764465
91,2017-12-01,BLM,0.75,2,1.4711139798164368
92,2018-01-01,BLM,0.75,3,1.5809998214244843
93,2018-02-01,BLM,0.75,4,1.701147437095642
94,2018-03-01,BLM,0.75,5,1.45167076587677
95,2018-04-01,BLM,0.75,6,1.3143562376499176
96,2017-11-01,BLM,0.8,1,1.6300447940826432
97,2017-12-01,BLM,0.8,2,1.7210301876068117
98,2018-01-01,BLM,0.8,3,1.8847571611404426
99,2018-02-01,BLM,0.8,4,2.0433036804199225
100,2018-03-01,BLM,0.8,5,1.9306264162063609
101,2018-04-01,BLM,0.8,6,1.6680058956146242
102,2017-11-01,BLM,0.85,1,1.94944052696228
103,2017-12-01,BLM,0.85,2,2.0391478419303883
104,2018-01-01,BLM,0.85,3,2.371560704708099
105,2018-02-01,BLM,0.85,4,2.4873444199562074
106,2018-03-01,BLM,0.85,5,2.3901574373245236
107,2018-04-01,BLM,0.85,6,2.250396585464477
108,2017-11-01,BLM,0.9,1,2.4881670713424686
109,2017-12-01,BLM,0.9,2,2.616277313232422
110,2018-01-01,BLM,0.9,3,2.81359601020813
111,2018-02-01,BLM,0.9,4,2.961050271987915
112,2018-03-01,BLM,0.9,5,3.026711678504944
113,2018-04-01,BLM,0.9,6,2.848972034454346
114,2017-11-01,BLM,0.95,1,3.541979539394378
115,2017-12-01,BLM,0.95,2,3.707235383987423
116,2018-01-01,BLM,0.95,3,3.9640068650245666
117,2018-02-01,BLM,0.95,4,4.0738819360733025
118,2018-03-01,BLM,0.95,5,3.9939027786254884
119,2018-04-01,BLM,0.95,6,3.9518453836441028
120,2017-11-01,BLM,0.99,1,6.843015251159668
121,2017-12-01,BLM,0.99,2,7.15301830768585
