,time,region,quantile,horizon,Cases
69,2017-07-01,BLM,0.55,4,0.012409540172666312
70,2017-08-01,BLM,0.55,5,0.01439565671607852
71,2017-09-01,BLM,0.55,6,0.0202739446423948
72,2017-04-01,BLM,0.6,1,0.11184540688991544
73,2017-05-01,BLM,0.6,2,0.015991713851690285
74,2017-06-01,BLM,0.6,3,0.02269028909504413
75,2017-07-01,BLM,0.6,4,0.022833257913589474
76,2017-08-01,BLM,0.6,5,0.02972790524363517
77,2017-09-01,BLM,0.6,6,0.04229446947574614
78,2017-04-01,BLM,0.65,1,0.19948832169175149
79,2017-05-01,BLM,0.65,2,0.04631543681025513
80,2017-06-01,BLM,0.65,3,0.04681714791804554
81,2017-07-01,BLM,0.65,4,0.05406624339520932
82,2017-08-01,BLM,0.65,5,0.06559720598161224
83,2017-09-01,BLM,0.65,6,0.1103287883102894
84,2017-04-01,BLM,0.7,1,0.339283475279808
85,2017-05-01,BLM,0.7,2,0.1259846881031989
86,2017-06-01,BLM,0.7,3,0.09588518440723418
87,2017-07-01,BLM,0.7,4,0.11848842725157724
88,2017-08-01,BLM,0.7,5,0.15707146674394595
89,2017-09-01,BLM,0.7,6,0.2615790843963623
90,2017-04-01,BLM,0.75,1,0.5291426032781601
91,2017-05-01,BLM,0.75,2,0.26210973411798477
92,2017-06-01,BLM,0.75,3,0.24090846627950668
93,2017-07-01,BLM,0.75,4,0.24555925279855728
94,2017-08-01,BLM,0.75,5,0.3346734941005707
95,2017-09-01,BLM,0.75,6,0.5406221300363541
96,2017-04-01,BLM,0.8,1,0.8918462753295899
97,2017-05-01,BLM,0.8,2,0.5202698945999149
98,2017-06-01,BLM,0.8,3,0.4731160581111915
99,2017-07-01,BLM,0.8,4,0.5412568688392642
100,2017-08-01,BLM,0.8,5,0.6961551427841187
101,2017-09-01,BLM,0.8,6,0.8529618740081792
102,2017-04-01,BLM,0.85,1,1.4654954314231872
103,2017-05-01,BLM,0.85,2,0.9529288351535793
104,2017-06-01,BLM,0.85,3,0.8206376761198039
105,2017-07-01,BLM,0.85,4,0.9208352088928218
106,2017-08-01,BLM,0.85,5,1.126286619901657
107,2017-09-01,BLM,0.85,6,1.4926176667213436
108,2017-04-01,BLM,0.9,1,2.3638239383697512
109,2017-05-01,BLM,0.9,2,2.044748401641846
110,2017-06-01,BLM,0.9,3,1.6722713708877563
111,2017-07-01,BLM,0.9,4,1.9795446395874023
112,2017-08-01,BLM,0.9,5,2.168736529350281
113,2017-09-01,BLM,0.9,6,2.6579513788223275
114,2017-04-01,BLM,0.95,1,4.79049847126007
115,2017-05-01,BLM,0.95,2,3.2803322672843906
116,2017-06-01,BLM,0.95,3,3.6423111796379084
117,2017-07-01,BLM,0.95,4,3.4577236890792835
118,2017-08-01,BLM,0.95,5,4.242899560928343
119,2017-09-01,BLM,0.95,6,4.428994512557981
120,2017-04-01,BLM,0.99,1,9.387675323486325
121,2017-05-01,BLM,0.99,2,10.86804805755615
122,2017-06-01,BLM,0.99,3,11.412640113830545
123,2017-07-01,BLM,0.99,4,9.74132288932798
124,2017-08-01,BLM,0.99,5,11.742119932174678
125,2017-09-01,BLM,0.99,6,13.366600809097282
0,2017-05-01,BLM,0.01,1,-0.1297632199525833
1,2017-06-01,BLM,0.01,2,-0.14011438339948654
2,2017-07-01,BLM,0.01,3,-0.22176306322216988
3,2017-08-01,BLM,0.01,4,-0.18671132132411003
4,2017-09-01,BLM,0.01,5,-0.21925169348716736
5,2017-10-01,BLM,0.01,6,-0.23173328578472138
6,2017-05-01,BLM,0.05,1,-0.08565550036728382
7,2017-06-01,BLM,0.05,2,-0.04329700432717799
8,2017-07-01,BLM,0.05,3,-0.05362458415329456
9,2017-08-01,BLM,0.05,4,-0.05086719803512096
10,2017-09-01,BLM,0.05,5,-0.058489873260259624
11,2017-10-01,BLM,0.05,6,-0.06795518361032009
12,2017-05-01,BLM,0.1,1,-0.07070987671613693
13,2017-06-01,BLM,0.1,2,-0.01662222035229206
14,2017-07-01,BLM,0.1,3,-0.02280454039573669
15,2017-08-01,BLM,0.1,4,-0.021309413574635984
16,2017-09-01,BLM,0.1,5,-0.020526444911956782
17,2017-10-01,BLM,0.1,6,-0.04083891585469245
18,2017-05-01,BLM,0.15,1,-0.055087423697113995
19,2017-06-01,BLM,0.15,2,-0.008501004846766592
20,2017-07-01,BLM,0.15,3,-0.012510937172919512
21,2017-08-01,BLM,0.15,4,-0.010493788029998542
22,2017-09-01,BLM,0.15,5,-0.008301183907315136
23,2017-10-01,BLM,0.15,6,-0.022634653933346273
24,2017-05-01,BLM,0.2,1,-0.03341675549745559
25,2017-06-01,BLM,0.2,2,-0.0030800103675574053
26,2017-07-01,BLM,0.2,3,-0.005943461135029792
27,2017-08-01,BLM,0.2,4,-0.003460411913692951
28,2017-09-01,BLM,0.2,5,-0.0004967165412381279
29,2017-10-01,BLM,0.2,6,-0.013987378031015392
30,2017-05-01,BLM,0.25,1,-0.007099928800016642
31,2017-06-01,BLM,0.25,2,0.001734369114274159
32,2017-07-01,BLM,0.25,3,-0.002693342394195497
33,2017-08-01,BLM,0.25,4,0.0007926979596959427
34,2017-09-01,BLM,0.25,5,0.0036487000179477036
35,2017-10-01,BLM,0.25,6,-0.004545702715404332
36,2017-05-01,BLM,0.3,1,0.037464527785778044
37,2017-06-01,BLM,0.3,2,0.0073146082926541555
38,2017-07-01,BLM,0.3,3,0.0015578178456053127
39,2017-08-01,BLM,0.3,4,0.004392577847465873
40,2017-09-01,BLM,0.3,5,0.006872158683836459
41,2017-10-01,BLM,0.3,6,-0.0006012303289026032
42,2017-05-01,BLM,0.35,1,0.08222051188349717
43,2017-06-01,BLM,0.35,2,0.014541511191055175
44,2017-07-01,BLM,0.35,3,0.005408117268234487
45,2017-08-01,BLM,0.35,4,0.009098731121048326
46,2017-09-01,BLM,0.35,5,0.010279084648936983
47,2017-10-01,BLM,0.35,6,0.002614858222659675
48,2017-05-01,BLM,0.4,1,0.1616570055484772
49,2017-06-01,BLM,0.4,2,0.03145798146724702
50,2017-07-01,BLM,0.4,3,0.012875355035066607
51,2017-08-01,BLM,0.4,4,0.015542273223400118
52,2017-09-01,BLM,0.4,5,0.016146841645240786
53,2017-10-01,BLM,0.4,6,0.006582786049693824
54,2017-05-01,BLM,0.45,1,0.2475954547524452
55,2017-06-01,BLM,0.45,2,0.08086475394666195
56,2017-07-01,BLM,0.45,3,0.025925425533205274
57,2017-08-01,BLM,0.45,4,0.029089182708412414
58,2017-09-01,BLM,0.45,5,0.02360543143004179
59,2017-10-01,BLM,0.45,6,0.010954139241948725
60,2017-05-01,BLM,0.5,1,0.3964203745126724
61,2017-06-01,BLM,0.5,2,0.19898391515016556
62,2017-07-01,BLM,0.5,3,0.044941987842321396
63,2017-08-01,BLM,0.5,4,0.051437705755233765
64,2017-09-01,BLM,0.5,5,0.0386480838060379
65,2017-10-01,BLM,0.5,6,0.020760992541909218
66,2017-05-01,BLM,0.55,1,0.6581837505102157
67,2017-06-01,BLM,0.55,2,0.3950916290283204
68,2017-07-01,BLM,0.55,3,0.1320080034434798
69,2017-08-01,BLM,0.55,4,0.14859040826559078
70,2017-09-01,BLM,0.55,5,0.10820613242685798
71,2017-10-01,BLM,0.55,6,0.06966459602117549
72,2017-05-01,BLM,0.6,1,1.0121774196624753
73,2017-06-01,BLM,0.6,2,0.6345438838005065
74,2017-07-01,BLM,0.6,3,0.3333775699138641
75,2017-08-01,BLM,0.6,4,0.343707001209259
76,2017-09-01,BLM,0.6,5,0.30185059905052175
77,2017-10-01,BLM,0.6,6,0.17378144860267625
78,2017-05-01,BLM,0.65,1,1.4703804433345795
79,2017-06-01,BLM,0.65,2,0.8791454732418065
80,2017-07-01,BLM,0.65,3,0.6251279532909394
81,2017-08-01,BLM,0.65,4,0.6432442009449008
82,2017-09-01,BLM,0.65,5,0.6322351604700093
83,2017-10-01,BLM,0.65,6,0.4045013979077341
84,2017-05-01,BLM,0.7,1,2.065013313293457
85,2017-06-01,BLM,0.7,2,1.3778108716011044
86,2017-07-01,BLM,0.7,3,1.0234404563903805
87,2017-08-01,BLM,0.7,4,1.1737237930297844
88,2017-09-01,BLM,0.7,5,0.8868292808532711
89,2017-10-01,BLM,0.7,6,0.7381964445114131
90,2017-05-01,BLM,0.75,1,2.780208170413971
91,2017-06-01,BLM,0.75,2,1.981894612312317
92,2017-07-01,BLM,0.75,3,1.631589114665985
93,2017-08-01,BLM,0.75,4,1.6660198271274567
94,2017-09-01,BLM,0.75,5,1.3352224826812744
95,2017-10-01,BLM,0.75,6,1.2772918939590454
96,2017-05-01,BLM,0.8,1,3.335574531555176
97,2017-06-01,BLM,0.8,2,2.5677787780761725
98,2017-07-01,BLM,0.8,3,2.2327613830566406
99,2017-08-01,BLM,0.8,4,2.123140573501587
100,2017-09-01,BLM,0.8,5,1.8277672290802007
101,2017-10-01,BLM,0.8,6,1.8732923984527599
102,2017-05-01,BLM,0.85,1,4.184324431419372
103,2017-06-01,BLM,0.85,2,3.1165700554847717
104,2017-07-01,BLM,0.85,3,3.205464744567871
105,2017-08-01,BLM,0.85,4,2.828114461898803
106,2017-09-01,BLM,0.85,5,2.4992381334304805
107,2017-10-01,BLM,0.85,6,2.8978878736495957
108,2017-05-01,BLM,0.9,1,5.102581548690799
109,2017-06-01,BLM,0.9,2,4.379860830307007
110,2017-07-01,BLM,0.9,3,4.337902641296387
111,2017-08-01,BLM,0.9,4,4.14581289291382
112,2017-09-01,BLM,0.9,5,3.7158011674881006
113,2017-10-01,BLM,0.9,6,4.17096848487854
114,2017-05-01,BLM,0.95,1,6.921401238441459
115,2017-06-01,BLM,0.95,2,7.14965670108795
116,2017-07-01,BLM,0.95,3,6.915690445899961
117,2017-08-01,BLM,0.95,4,6.558934521675097
118,2017-09-01,BLM,0.95,5,6.357429790496826
119,2017-10-01,BLM,0.95,6,7.423459267616271
120,2017-05-01,BLM,0.99,1,12.43135929107666
121,2017-06-01,BLM,0.99,2,16.147056503295893
122,2017-07-01,BLM,0.99,3,23.166548480987515
123,2017-08-01,BLM,0.99,4,26.127107543945286
124,2017-09-01,BLM,0.99,5,25.24205976486204
125,2017-10-01,BLM,0.99,6,21.060672531127913
0,2017-06-01,BLM,0.01,1,-0.1406728844344616
1,2017-07-01,BLM,0.01,2,-0.1633331398665905
2,2017-08-01,BLM,0.01,3,-0.1612260529398918
3,2017-09-01,BLM,0.01,4,-0.1652627569437027
4,2017-10-01,BLM,0.01,5,-0.21517752557992936
5,2017-11-01,BLM,0.01,6,-0.19989003956317902
6,2017-06-01,BLM,0.05,1,-0.010454536089673639
7,2017-07-01,BLM,0.05,2,-0.0275577382184565
8,2017-08-01,BLM,0.05,3,-0.04103787541389465
9,2017-09-01,BLM,0.05,4,-0.05144420750439166
10,2017-10-01,BLM,0.05,5,-0.05383599326014518
11,2017-11-01,BLM,0.05,6,-0.06983624175190925
12,2017-06-01,BLM,0.1,1,0.08447085469961169
13,2017-07-01,BLM,0.1,2,0.000446136132813992
14,2017-08-01,BLM,0.1,3,-0.013428607024252415
15,2017-09-01,BLM,0.1,4,-0.012067892123013733
16,2017-10-01,BLM,0.1,5,-0.0255481144413352
17,2017-11-01,BLM,0.1,6,-0.02381443828344345
18,2017-06-01,BLM,0.15,1,0.1774396002292633
19,2017-07-01,BLM,0.15,2,0.01429010983556509
20,2017-08-01,BLM,0.15,3,0.000246944889659062
21,2017-09-01,BLM,0.15,4,0.00022348291240632297
22,2017-10-01,BLM,0.15,5,-0.01465476267039776
23,2017-11-01,BLM,0.15,6,-0.00842854231595993
24,2017-06-01,BLM,0.2,1,0.2745082378387452
25,2017-07-01,BLM,0.2,2,0.02905050218105316
26,2017-08-01,BLM,0.2,3,0.008488629013299944
27,2017-09-01,BLM,0.2,4,0.006583954300731424
28,2017-10-01,BLM,0.2,5,-0.007096768543124198
29,2017-11-01,BLM,0.2,6,0.0024607172235846593
30,2017-06-01,BLM,0.25,1,0.37059590220451355
31,2017-07-01,BLM,0.25,2,0.05527685675770044
32,2017-08-01,BLM,0.25,3,0.014007950201630592
33,2017-09-01,BLM,0.25,4,0.0115902170073241
34,2017-10-01,BLM,0.25,5,-0.0008151651709340513
35,2017-11-01,BLM,0.25,6,0.008163880789652467
36,2017-06-01,BLM,0.3,1,0.46568955183029176
37,2017-07-01,BLM,0.3,2,0.10670125186443327
38,2017-08-01,BLM,0.3,3,0.031763924658298484
39,2017-09-01,BLM,0.3,4,0.01978042237460613
40,2017-10-01,BLM,0.3,5,0.005062850425019856
41,2017-11-01,BLM,0.3,6,0.014255309384316203
42,2017-06-01,BLM,0.35,1,0.5334534406661986
43,2017-07-01,BLM,0.35,2,0.1948977790772915
44,2017-08-01,BLM,0.35,3,0.052783919498324394
45,2017-09-01,BLM,0.35,4,0.03195003177970647
46,2017-10-01,BLM,0.35,5,0.0129169232212007
47,2017-11-01,BLM,0.35,6,0.02017670953646302
48,2017-06-01,BLM,0.4,1,0.6461154580116273
49,2017-07-01,BLM,0.4,2,0.3349992573261261
50,2017-08-01,BLM,0.4,3,0.11700782477855683
51,2017-09-01,BLM,0.4,4,0.07077083885669713
52,2017-10-01,BLM,0.4,5,0.03469503223896031
53,2017-11-01,BLM,0.4,6,0.030386421456933026
54,2017-06-01,BLM,0.45,1,0.7538607686758041
55,2017-07-01,BLM,0.45,2,0.493554736673832
56,2017-08-01,BLM,0.45,3,0.24859141707420354
57,2017-09-01,BLM,0.45,4,0.18354967534542085
58,2017-10-01,BLM,0.45,5,0.10625725947320461
59,2017-11-01,BLM,0.45,6,0.06432336680591111
60,2017-06-01,BLM,0.5,1,0.9272881746292114
61,2017-07-01,BLM,0.5,2,0.6380804777145386
62,2017-08-01,BLM,0.5,3,0.4445769339799881
63,2017-09-01,BLM,0.5,4,0.37927334010601044
64,2017-10-01,BLM,0.5,5,0.21751093119382858
65,2017-11-01,BLM,0.5,6,0.1615597903728485
66,2017-06-01,BLM,0.55,1,1.2072117030620582
67,2017-07-01,BLM,0.55,2,0.8899762749671937
68,2017-08-01,BLM,0.55,3,0.6515202969312669
69,2017-09-01,BLM,0.55,4,0.6155649423599244
70,2017-10-01,BLM,0.55,5,0.43316777348518404
71,2017-11-01,BLM,0.55,6,0.35729154497385035
72,2017-06-01,BLM,0.6,1,1.4300045013427731
73,2017-07-01,BLM,0.6,2,1.1484389066696168
74,2017-08-01,BLM,0.6,3,0.9074961900711059
75,2017-09-01,BLM,0.6,4,0.8677642226219175
76,2017-10-01,BLM,0.6,5,0.6679945707321167
77,2017-11-01,BLM,0.6,6,0.6247580170631406
78,2017-06-01,BLM,0.65,1,1.6928901493549346
79,2017-07-01,BLM,0.65,2,1.3987968206405643
80,2017-08-01,BLM,0.65,3,1.2577447056770326
81,2017-09-01,BLM,0.65,4,1.2087405323982239
82,2017-10-01,BLM,0.65,5,0.9170311778783798
83,2017-11-01,BLM,0.65,6,1.0145903050899505
84,2017-06-01,BLM,0.7,1,1.9719546675682065
85,2017-07-01,BLM,0.7,2,1.7526999235153196
86,2017-08-01,BLM,0.7,3,1.5937965869903565
87,2017-09-01,BLM,0.7,4,1.6022108912467956
